#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity
0;Dead;Active;u-Cccr;1;0;1;1;1;0;[0];0;0;0.0;[4, 8, 11, 10, 10, 7];4;11;8.333333333333334;[];[2];[];[0];20
1;Dead;Active;u-Cccr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
2;Dead;Active;u-Cccr;7;1;1;0;1;0;[3];3;3;3.0;[5, 8];5;8;6.5;[4];[3];[1];[1];51
3;Equivalent;Active;u-Cccr;8;0;0;0;0;1;[2];2;2;2.0;[8, 8, 5];5;8;7.0;[2];[9];[0];[1];21
4;Dead;Active;u-Cccr;12;0;0;0;0;0;[4];4;4;4.0;[6, 3];3;6;4.5;[9];[13];[1];[1];21
5;Dead;Active;u-CCDL;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
6;Dead;Active;u-Ccsr;2;0;0;0;0;0;[1];1;1;1.0;[3, 7, 10, 9, 9, 6];3;10;7.333333333333333;[1, 3];[4, 8];[1, 1];[1, 0];48
7;Dead;Active;u-Ccsr;2;0;0;0;0;0;[1];1;1;1.0;[3, 7, 10, 9, 9, 6];3;10;7.333333333333333;[1, 3];[4, 8];[1, 1];[1, 0];48
8;Dead;Active;u-Ccsr;2;0;0;0;0;0;[1];1;1;1.0;[3, 7, 10, 9, 9, 6];3;10;7.333333333333333;[1, 3];[4, 8];[1, 1];[1, 0];48
9;Dead;Active;u-Ccsr;2;0;0;0;0;0;[1];1;1;1.0;[3, 7, 10, 9, 9, 6];3;10;7.333333333333333;[1, 3];[4, 8];[1, 1];[1, 0];48
10;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
11;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
12;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
13;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
14;Dead;Active;u-Ccsr;4;1;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
15;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
16;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
17;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
18;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
19;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
20;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
21;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
22;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
23;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
24;Dead;Active;u-Ccsr;4;1;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
25;Dead;Active;u-Ccsr;4;0;1;1;0;0;[2];2;2;2.0;[2, 6, 9];2;9;5.666666666666667;[2];[5, 7];[0];[1, 1];221
26;Dead;Active;u-Ccsr;7;1;1;0;1;0;[3];3;3;3.0;[5, 8];5;8;6.5;[4];[3];[1];[1];51
27;Dead;Active;u-Ccsr;7;0;1;0;1;0;[3];3;3;3.0;[5, 8];5;8;6.5;[4];[3];[1];[1];51
28;Dead;Active;u-Ccsr;7;0;1;0;1;0;[3];3;3;3.0;[5, 8];5;8;6.5;[4];[3];[1];[1];51
29;Dead;Active;u-Ccsr;7;0;1;0;1;0;[3];3;3;3.0;[5, 8];5;8;6.5;[4];[3];[1];[1];51
30;Dead;Active;u-Ccsr;9;0;1;1;0;0;[3];3;3;3.0;[7, 7, 4];4;7;6.0;[8, 10];[11, 12];[0, 0];[1, 0];48
